Fl‰che;BaumNr;Gattung;Art;Sorte;NameDeutsch;Hˆhe;Schirmdurchmesser;Stammumfang;Typ;XPos;YPos
694;5;Tilia;cordata;;Winterlinde;23;14;174;L;71526;350294
694;6;Tilia;cordata;;Winterlinde;23;14;180;L;71531;350303
694;9;Tilia;cordata;;Winterlinde;23;12;174;L;71544;350329
694;10;Tilia;cordata;;Winterlinde;23;10;156;L;71549;350338
694;11;Tilia;cordata;;Winterlinde;23;10;123;L;71553;350338
694;17;Tilia;cordata;;Winterlinde;23;12;150;L;71591;350290
694;23;Betula;pendula;;Sand-Birke Weiﬂ-Birke;15;10;99;L;71624;350247
694;24;Betula;pendula;;Sand-Birke Weiﬂ-Birke;15;10;108;L;71621;350242
694;25;Tilia;cordata;;Winterlinde;23;14;150;L;71640;350262
694;27;Tilia;cordata;;Winterlinde;23;14;159;L;71635;350252
694;31;Tilia;cordata;;Winterlinde;23;10;135;L;71592;350249
694;32;Tilia;cordata;;Winterlinde;23;10;111;L;71586;350252
694;33;Tilia;cordata;;Winterlinde;23;12;129;L;71580;350255
694;35;Tilia;cordata;;Winterlinde;23;14;126;L;71569;350260
694;37;Tilia;cordata;;Winterlinde;23;13;141;L;71558;350266
694;39;Acer;pseudoplatanus;;Bergahorn;14;16;204;L;71541;350259
694;41;Tilia;cordata;;Winterlinde;13;10;150;L;71531;350268
694;44;Tilia;cordata;;Winterlinde;12;9;123;L;71552;350310
694;45;Tilia;cordata;;Winterlinde;14;9;135;L;71558;350308
694;46;Tilia;cordata;;Winterlinde;14;9;123;L;71563;350305
694;49;Abies;nordmanniana;;Nordmannstanne;8;4;64;N;71596;350279
694;52;Betula;pendula;;Sand-Birke Weiﬂ-Birke;14;10;141;L;71606;350271
694;53;Betula;pendula;;Sand-Birke Weiﬂ-Birke;14;9;111;L;71604;350266
694;54;Betula;pendula;;Sand-Birke Weiﬂ-Birke;14;9;135;L;71602;350262
694;55;Betula;pendula;;Sand-Birke Weiﬂ-Birke;14;10;159;L;71601;350257
45;1;Tilia;cordata;;Winterlinde;25;10;110;L;70126;351157
517;3;Carpinus;betulus;;Hainbuche;22;18;300;L;70061;352072
51;30;Platanus;hispanica (acerifolia);.;Ahornbl‰ttrige-Platane;24;11;140;L;71703;352763
517;5;Betula;pendula;;Sand-Birke Weiﬂ-Birke;12;10;130;L;70046;352050
517;6;Betula;pendula;;Sand-Birke Weiﬂ-Birke;13;6;70;L;70046;352046
517;7;Betula;pendula;;Sand-Birke Weiﬂ-Birke;15;8;110;L;70051;352045
370;3;Carpinus;betulus;;Hainbuche;6;3;60;L;71478;351928
316;13;Corylus;colurna;;Baumhasel;12;8;90;L;71333;351763
370;5;Ailanthus;altissima;;Gˆtterbaum;15;12;1;L;71451;351923
370;6;Tilia;cordata;;Winterlinde;15;5;100;L;71431;351975
370;8;Tilia;cordata;;Winterlinde;15;7;150;L;71446;351982
771;3;Tilia;cordata;;Winterlinde;6;5;95;L;70995;351066
771;5;Acer;pseudoplatanus;;Bergahorn;18;10;210;L;70984;351046
768;2;Carpinus;betulus;Fastigiata;S‰ulen-Hainbuche;6;4;65;L;71346;351405
768;3;Carpinus;betulus;Fastigiata;S‰ulen-Hainbuche;3;1;25;L;71343;351413
768;4;Carpinus;betulus;Fastigiata;S‰ulen-Hainbuche;6;4;1;L;71339;351422
768;11;Carpinus;betulus;Fastigiata;S‰ulen-Hainbuche;6;4;65;L;71338;351503
768;21;Betula;pendula;;Sand-Birke Weiﬂ-Birke;5;5;75;L;71399;351463
768;22;Betula;pendula;;Sand-Birke Weiﬂ-Birke;9;5;67;L;71389;351484
768;23;Betula;pendula;;Sand-Birke Weiﬂ-Birke;9;5;67;L;71388;351488
51;32;Platanus;hispanica (acerifolia);.;Ahornbl‰ttrige-Platane;24;8;147;L;71707;352746
767;9;Tilia;platyphyllos;;Sommerlinde;5;4;130;L;71747;350263
316;17;Parrotia;persica;;Eisenholz;3;2;60;L;71369;351870
316;18;Betula;pendula;;Sand-Birke Weiﬂ-Birke;5;4;60;L;71374;351872
316;19;Betula;pendula;;Sand-Birke Weiﬂ-Birke;5;4;60;L;71379;351874
316;20;Robinia;pseudoacacia;;Robinie;12;10;90;L;71391;351867
316;21;Robinia;pseudoacacia;;Robinie;12;10;75;L;71393;351861
316;24;Robinia;pseudoacacia;;Robinie;12;7;75;L;71402;351841
316;25;Robinia;pseudoacacia;;Robinie;12;8;75;L;71405;351833
202;18;Sorbus;aucuparia;.;Eberesche;6;8;370;L;70176;348981
518;5;Catalpa;bignonioides;;Trompetenbaum;4;12;250;L;69736;352051
51;95;Platanus;hispanica (acerifolia);.;Ahornbl‰ttrige-Platane;20;12;208;L;71776;352518
770;12;Aesculus;hippocastanum;;Roﬂkastanie;4;2;35;L;71855;350704
770;13;Aesculus;hippocastanum;;Roﬂkastanie;5;3;45;L;71853;350693
770;22;Carpinus;betulus;Fastigiata;S‰ulen-Hainbuche;3;2;25;L;71809;350642
774;1;Acer;platanoides;;Spitzahorn;10;9;65;L;72045;350451
774;2;Acer;platanoides;;Spitzahorn;12;12;65;L;72045;350445
774;4;Davidia;involucrata;.;Taubenbaum;10;6;65;L;72063;350452
774;9;Tilia;cordata;;Winterlinde;20;28;188;L;72064;350399
774;11;Betula;pendula;;Sand-Birke Weiﬂ-Birke;20;18;131;L;72058;350392
774;12;Juglans;regia;.;Walnuﬂ;10;6;70;L;72055;350374
774;14;Chamaecyparis;lawsoniana;;Scheinzypresse;16;10;170;N;72048;350378
774;15;Quercus;robur;.;Stieleiche;5;4;25;L;72034;350372
774;16;Pinus;nigra;nigra;Schwarzkiefer;15;16;124;N;72027;350392
774;17;Chamaecyparis;lawsoniana;;Scheinzypresse;15;4;73;N;72031;350393
316;27;Robinia;pseudoacacia;;Robinie;12;8;75;L;71410;351820
514;2;Acer;platanoides;Globosum;Kugelahorn;4;3;40;L;70828;352004
768;20;Betula;pendula;;Sand-Birke Weiﬂ-Birke;5;5;57;L;71400;351458
51;96;Platanus;hispanica (acerifolia);.;Ahornbl‰ttrige-Platane;23;12;217;L;71775;352528
768;14;Liriodendron;tulpifera;.;Tulpenbaum;7;5;58;L;71368;351492
489;29;Picea;omorika;;Serbische Fichte;9;4;45;N;69378;351893
692;3;Tilia;cordata;;Winterlinde;15;6;160;L;70983;355051
692;4;Tilia;cordata;;Winterlinde;7;3;67;L;70967;355051
711;16;Cupressocyparis;leylandii;.;Leylandzypresse;18;10;80;N;70461;350649
1084;5;Gleditsia;triacanthos;;Christusdorn;4;3;30;L;72135;352770
1084;9;Gleditsia;triacanthos;;Christusdorn;4;3;30;L;72101;352827
525;003a;Salix;alba;Liempde;Kegel-Silberweide;5;2;27;L;71176;353491
525;005a;Salix;alba;Liempde;Kegel-Silberweide;6;2;25;L;71167;353478
525;;Salix;alba;Liempde;Kegel-Silberweide;6;3;29;L;71153;353456
525;017a;Salix;alba;Liempde;Kegel-Silberweide;6;2;25;L;71111;353391
525;020a;Salix;alba;Liempde;Kegel-Silberweide;6;3;31;L;71097;353370
525;024a;Salix;alba;Liempde;Kegel-Silberweide;6;2;22;L;71080;353344
525;026a;Salix;alba;Liempde;Kegel-Silberweide;6;2;23;L;71071;353330
592;125a;Quercus;robur;`Fastigiata koser`;S‰ulenstieleiche;3;1;12;L;70590;354316
592;153a;Liriodendron;tulpifera;.;Tulpenbaum;5;2;20;L;70813;354084
548;038a;Acer;platanoides;;Spitzahorn;5;2;20;L;70817;353586
773;2;Betula;pendula;;Sand-Birke Weiﬂ-Birke;13;10;136;L;70407;350035
773;3;Betula;pendula;;Sand-Birke Weiﬂ-Birke;16;10;140;L;70407;350033
773;6;Betula;pendula;;Sand-Birke Weiﬂ-Birke;18;13;192;L;70392;350032
773;7;Carpinus;betulus;;Hainbuche;11;10;128;L;70393;350047
772;6;Betula;pendula;;Sand-Birke Weiﬂ-Birke;20;10;108;L;71523;350912
772;7;Betula;pendula;;Sand-Birke Weiﬂ-Birke;18;10;75;L;71512;350916
772;8;Betula;pendula;;Sand-Birke Weiﬂ-Birke;18;10;78;L;71509;350912
772;9;Betula;pendula;;Sand-Birke Weiﬂ-Birke;18;10;90;L;71511;350920
691;3;Malus;;;Apfel;3;1;25;L;70855;354870
639;1;Tilia;cordata;;Winterlinde;6;3;65;L;71222;356701
639;2;Tilia;cordata;;Winterlinde;6;3;65;L;71215;356701
689;10;Larix;decidua;;Europ‰ische-L‰rche;10;6;127;N;70607;355198
639;10;Fraxinus;excelsior;;Gemeine Esche;5;3;65;L;71219;356721
639;11;Liquidambar;styraciflua;;Amerikanischer-Amberbaum;4;1;26;L;71220;356719
639;12;Malus;;;Apfel;3;2;35;L;71222;356715
688;1;Betula;pendula;;Sand-Birke Weiﬂ-Birke;12;4;107;L;71324;354263
376;4;Tilia;;;Linde;30;12;1;L;72821;351722
