Fläche;BaumNr;Gattung;Art;Sorte;NameDeutsch;Höhe;Schirmdurchmesser;Stammumfang;Typ;XPos;YPos;Kategorie;Reifvon;Reifbis
316;13;Corylus;colurna;;Baumhasel;12;8;90;L;71333;351763;Nüsse;15/08;30/09
102;8;Corylus;colurna;;Baumhasel;4;2;45;L;73916;352460;Nüsse;15/08;30/09
459;004a;Corylus;colurna;;Baumhasel;9;5;60;L;74334;345891;Nüsse;15/08;30/09
316;1;Corylus;colurna;;Baumhasel;9;6;75;L;71414;351796;Nüsse;15/08;30/09
450;12;Corylus;colurna;;Baumhasel;5;2;42;L;74028;345213;Nüsse;15/08;30/09
726;14;Corylus;colurna;;Baumhasel;7;2;45;L;71869;351073;Nüsse;15/08;30/09
259;004a;Corylus;colurna;;Baumhasel;5;2;50;L;73357;346546;Nüsse;15/08;30/09
259;003a;Corylus;colurna;;Baumhasel;5;2;38;L;73414;346565;Nüsse;15/08;30/09
259;5;Corylus;colurna;;Baumhasel;5;3;48;L;73318;346533;Nüsse;15/08;30/09
259;6;Corylus;colurna;;Baumhasel;6;3;65;L;73289;346524;Nüsse;15/08;30/09
259;9;Corylus;colurna;;Baumhasel;6;4;54;L;73168;346485;Nüsse;15/08;30/09
259;10;Corylus;colurna;;Baumhasel;4;2;43;L;73148;346479;Nüsse;15/08;30/09
259;11;Corylus;colurna;;Baumhasel;5;3;45;L;73127;346472;Nüsse;15/08;30/09
259;12;Corylus;colurna;;Baumhasel;5;2;35;L;73117;346457;Nüsse;15/08;30/09
259;13;Corylus;colurna;;Baumhasel;5;2;25;L;73128;346461;Nüsse;15/08;30/09
259;14;Corylus;colurna;;Baumhasel;6;2;42;L;73214;346489;Nüsse;15/08;30/09
259;15;Corylus;colurna;;Baumhasel;5;2;42;L;73272;346508;Nüsse;15/08;30/09
270;16;Corylus;colurna;;Baumhasel;17;7;72;L;72717;346322;Nüsse;15/08;30/09
270;17;Corylus;colurna;;Baumhasel;3;1;32;L;72717;346318;Nüsse;15/08;30/09
259;1;Corylus;colurna;;Baumhasel;5;2;41;L;73461;346581;Nüsse;15/08;30/09
270;20;Corylus;colurna;;Baumhasel;7;3;38;L;72716;346307;Nüsse;15/08;30/09
270;9;Corylus;colurna;;Baumhasel;6;2;20;L;72722;346362;Nüsse;15/08;30/09
270;22;Corylus;colurna;;Baumhasel;8;3;53;L;72715;346300;Nüsse;15/08;30/09
141;14;Corylus;colurna;;Baumhasel;5;2;30;L;72057;349906;Nüsse;15/08;30/09
141;42;Corylus;colurna;;Baumhasel;6;4;40;L;72103;349844;Nüsse;15/08;30/09
141;43;Corylus;colurna;;Baumhasel;7;5;50;L;72095;349839;Nüsse;15/08;30/09
141;93;Corylus;colurna;;Baumhasel;5;3;40;L;72081;349941;Nüsse;15/08;30/09
173;7;Corylus;colurna;;Baumhasel;7;4;90;L;70438;348451;Nüsse;15/08;30/09
173;8;Corylus;colurna;;Baumhasel;10;5;110;L;70431;348447;Nüsse;15/08;30/09
173;11;Corylus;colurna;;Baumhasel;12;5;100;L;70417;348440;Nüsse;15/08;30/09
173;12;Corylus;colurna;;Baumhasel;12;5;120;L;70412;348437;Nüsse;15/08;30/09
173;17;Corylus;colurna;;Baumhasel;8;4;60;L;70383;348420;Nüsse;15/08;30/09
173;18;Corylus;colurna;;Baumhasel;8;5;70;L;70378;348417;Nüsse;15/08;30/09
173;19;Corylus;colurna;;Baumhasel;10;5;100;L;70373;348414;Nüsse;15/08;30/09
173;20;Corylus;colurna;;Baumhasel;10;5;100;L;70364;348409;Nüsse;15/08;30/09
173;21;Corylus;colurna;;Baumhasel;8;4;60;L;70358;348404;Nüsse;15/08;30/09
173;25;Corylus;colurna;;Baumhasel;10;5;140;L;70339;348392;Nüsse;15/08;30/09
523;11;Corylus;colurna;;Baumhasel;7;8;100;L;70649;353519;Nüsse;15/08;30/09
523;12;Corylus;colurna;;Baumhasel;5;6;1;L;70647;353515;Nüsse;15/08;30/09
523;13;Corylus;colurna;;Baumhasel;7;7;80;L;70653;353517;Nüsse;15/08;30/09
316;2;Corylus;colurna;;Baumhasel;12;8;90;L;71407;351793;Nüsse;15/08;30/09
316;10;Corylus;colurna;;Baumhasel;12;6;90;L;71354;351772;Nüsse;15/08;30/09
316;11;Corylus;colurna;;Baumhasel;12;6;90;L;71348;351769;Nüsse;15/08;30/09
316;12;Corylus;colurna;;Baumhasel;12;8;90;L;71340;351766;Nüsse;15/08;30/09
316;3;Corylus;colurna;;Baumhasel;12;8;90;L;71400;351790;Nüsse;15/08;30/09
316;4;Corylus;colurna;;Baumhasel;9;8;90;L;71393;351788;Nüsse;15/08;30/09
316;8;Corylus;colurna;;Baumhasel;9;6;75;L;71367;351777;Nüsse;15/08;30/09
316;9;Corylus;colurna;;Baumhasel;12;6;95;L;71360;351774;Nüsse;15/08;30/09
316;5;Corylus;colurna;;Baumhasel;12;7;75;L;71387;351785;Nüsse;15/08;30/09
316;6;Corylus;colurna;;Baumhasel;9;6;75;L;71380;351782;Nüsse;15/08;30/09
316;7;Corylus;colurna;;Baumhasel;12;8;90;L;71374;351780;Nüsse;15/08;30/09
72;1;Corylus;colurna;;Baumhasel;14;8;105;L;71097;352534;Nüsse;15/08;30/09
86;1;Corylus;colurna;;Baumhasel;7;5;40;L;71621;353167;Nüsse;15/08;30/09
381;18;Corylus;colurna;;Baumhasel;6;4;50;L;71165;345424;Nüsse;15/08;30/09
450;11;Corylus;colurna;;Baumhasel;5;2;36;L;74035;345212;Nüsse;15/08;30/09
426;52;Corylus;colurna;;Baumhasel;4;1;25;L;71527;346373;Nüsse;15/08;30/09
421;12;Corylus;colurna;;Baumhasel;5;2;30;L;71456;346215;Nüsse;15/08;30/09
421;13;Corylus;colurna;;Baumhasel;5;2;40;L;71449;346214;Nüsse;15/08;30/09
421;14;Corylus;colurna;;Baumhasel;4;2;30;L;71442;346212;Nüsse;15/08;30/09
65;426;Corylus;colurna;;Baumhasel;5;2;20;L;71376;353183;Nüsse;15/08;30/09
726;13;Corylus;colurna;;Baumhasel;7;2;45;L;71865;351075;Nüsse;15/08;30/09
606;5;Corylus;colurna;;Baumhasel;1;2;60;L;70237;353504;Nüsse;15/08;30/09
300;15;Corylus;colurna;;Baumhasel;5;7;50;L;74014;345412;Nüsse;15/08;30/09
300;041b;Corylus;colurna;;Baumhasel;12;5;45;L;74057;345379;Nüsse;15/08;30/09
873;7;Corylus;colurna;;Baumhasel;10;5;50;L;72787;346671;Nüsse;15/08;30/09
873;8;Corylus;colurna;;Baumhasel;10;5;50;L;72784;346678;Nüsse;15/08;30/09
606;3;Corylus;colurna;;Baumhasel;1;3;60;L;70275;353497;Nüsse;15/08;30/09
606;16;Corylus;colurna;;Baumhasel;1;6;95;L;70085;353539;Nüsse;15/08;30/09
606;17;Corylus;colurna;;Baumhasel;1;6;90;L;70067;353543;Nüsse;15/08;30/09
606;21;Corylus;colurna;;Baumhasel;1;4;65;L;70019;353557;Nüsse;15/08;30/09
606;29;Corylus;colurna;;Baumhasel;1;5;80;L;69922;353571;Nüsse;15/08;30/09
606;18;Corylus;colurna;;Baumhasel;1;6;80;L;70055;353545;Nüsse;15/08;30/09
606;28;Corylus;colurna;;Baumhasel;17;2;70;L;69944;353567;Nüsse;15/08;30/09
606;30;Corylus;colurna;;Baumhasel;1;4;70;L;69909;353573;Nüsse;15/08;30/09
606;31;Corylus;colurna;;Baumhasel;1;5;100;L;69902;353575;Nüsse;15/08;30/09
450;2;Corylus;colurna;;Baumhasel;5;2;35;L;74102;345184;Nüsse;15/08;30/09
450;5;Corylus;colurna;;Baumhasel;6;3;43;L;74074;345198;Nüsse;15/08;30/09
259;2;Corylus;colurna;;Baumhasel;5;2;44;L;73445;346575;Nüsse;15/08;30/09
359;1;Corylus;colurna;;Baumhasel;4;1;30;L;72970;351201;Nüsse;15/08;30/09
359;2;Corylus;colurna;;Baumhasel;4;1;30;L;72975;351185;Nüsse;15/08;30/09
359;3;Corylus;colurna;;Baumhasel;4;1;60;L;72978;351173;Nüsse;15/08;30/09
359;4;Corylus;colurna;;Baumhasel;4;2;45;L;72982;351158;Nüsse;15/08;30/09
450;6;Corylus;colurna;;Baumhasel;5;3;34;L;74066;345202;Nüsse;15/08;30/09
450;7;Corylus;colurna;;Baumhasel;5;2;34;L;74060;345204;Nüsse;15/08;30/09
731;1;Corylus;colurna;;Baumhasel;9;6;150;L;70810;350808;Nüsse;15/08;30/09
246;2;Corylus;colurna;;Baumhasel;5;4;48;L;72199;346610;Nüsse;15/08;30/09
246;3;Corylus;colurna;;Baumhasel;5;4;53;L;72194;346609;Nüsse;15/08;30/09
246;5;Corylus;colurna;;Baumhasel;5;3;48;L;72172;346614;Nüsse;15/08;30/09
246;6;Corylus;colurna;;Baumhasel;5;3;51;L;72165;346612;Nüsse;15/08;30/09
246;7;Corylus;colurna;;Baumhasel;5;4;51;L;72158;346610;Nüsse;15/08;30/09
246;8;Corylus;colurna;;Baumhasel;5;4;48;L;72150;346608;Nüsse;15/08;30/09
246;9;Corylus;colurna;;Baumhasel;5;4;53;L;72182;346607;Nüsse;15/08;30/09
246;10;Corylus;colurna;;Baumhasel;5;4;51;L;72177;346606;Nüsse;15/08;30/09
246;13;Corylus;colurna;;Baumhasel;5;4;48;L;72156;346601;Nüsse;15/08;30/09
246;18;Corylus;colurna;;Baumhasel;4;2;43;L;72132;346602;Nüsse;15/08;30/09
246;19;Corylus;colurna;;Baumhasel;5;2;41;L;72140;346606;Nüsse;15/08;30/09
359;5;Corylus;colurna;;Baumhasel;4;1;30;L;72983;351152;Nüsse;15/08;30/09
223;022b;Corylus;colurna;;Baumhasel;8;4;52;L;72605;346636;Nüsse;15/08;30/09
223;022a;Corylus;colurna;;Baumhasel;8;4;59;L;72614;346630;Nüsse;15/08;30/09
246;11;Corylus;colurna;;Baumhasel;5;3;48;L;72169;346604;Nüsse;15/08;30/09
246;14;Corylus;colurna;;Baumhasel;5;4;43;L;72149;346600;Nüsse;15/08;30/09
246;15;Corylus;colurna;;Baumhasel;5;3;43;L;72126;346595;Nüsse;15/08;30/09
246;16;Corylus;colurna;;Baumhasel;5;4;89;L;72117;346598;Nüsse;15/08;30/09
783;14;Corylus;colurna;;Baumhasel;12;25;80;L;69513;351127;Nüsse;15/08;30/09
223;23;Corylus;colurna;;Baumhasel;6;4;52;L;72595;346639;Nüsse;15/08;30/09
246;12;Corylus;colurna;;Baumhasel;5;4;51;L;72162;346602;Nüsse;15/08;30/09
919;5;Corylus;colurna;;Baumhasel;5;1;22;L;77940;346348;Nüsse;15/08;30/09
452;15;Corylus;colurna;;Baumhasel;6;2;45;L;76674;345473;Nüsse;15/08;30/09
452;16;Corylus;colurna;;Baumhasel;7;2;45;L;76664;345469;Nüsse;15/08;30/09
452;17;Corylus;colurna;;Baumhasel;7;3;54;L;76655;345466;Nüsse;15/08;30/09
452;18;Corylus;colurna;;Baumhasel;7;3;53;L;76645;345463;Nüsse;15/08;30/09
839;23;Corylus;colurna;;Baumhasel;7;2;25;L;73642;346908;Nüsse;15/08;30/09
839;25;Corylus;colurna;;Baumhasel;6;2;25;L;73664;346942;Nüsse;15/08;30/09
839;10;Corylus;colurna;;Baumhasel;6;2;20;L;73604;346837;Nüsse;15/08;30/09
839;11;Corylus;colurna;;Baumhasel;8;4;25;L;73580;346825;Nüsse;15/08;30/09
717;32;Corylus;colurna;;Baumhasel;16;8;200;L;70569;350574;Nüsse;15/08;30/09
606;027a;Corylus;colurna;;Baumhasel;4;1;19;L;69960;353564;Nüsse;15/08;30/09
726;15;Corylus;colurna;;Baumhasel;7;2;38;L;71874;351071;Nüsse;15/08;30/09
783;164;Corylus;colurna;;Baumhasel;2;1;20;L;69345;351189;Nüsse;15/08;30/09
783;165;Corylus;colurna;;Baumhasel;3;1;15;L;69344;351192;Nüsse;15/08;30/09
783;166;Corylus;colurna;;Baumhasel;2;1;15;L;69344;351193;Nüsse;15/08;30/09
568;5;Corylus;colurna;;Baumhasel;7;6;80;L;69813;352749;Nüsse;15/08;30/09
568;6;Corylus;colurna;;Baumhasel;5;2;30;L;69809;352754;Nüsse;15/08;30/09
568;9;Corylus;colurna;;Baumhasel;7;4;60;L;69789;352779;Nüsse;15/08;30/09
568;10;Corylus;colurna;;Baumhasel;6;5;60;L;69784;352786;Nüsse;15/08;30/09
102;7;Corylus;colurna;;Baumhasel;5;2;60;L;73917;352449;Nüsse;15/08;30/09
173;42;Corylus;colurna;;Baumhasel;8;4;60;L;70255;348325;Nüsse;15/08;30/09
173;43;Corylus;colurna;;Baumhasel;8;4;60;L;70258;348327;Nüsse;15/08;30/09
25;32;Corylus;colurna;;Baumhasel;6;2;45;L;70451;351661;Nüsse;15/08;30/09
25;33;Corylus;colurna;;Baumhasel;5;1;40;L;70466;351660;Nüsse;15/08;30/09
25;34;Corylus;colurna;;Baumhasel;6;1;40;L;70464;351671;Nüsse;15/08;30/09
34;1;Corylus;colurna;;Baumhasel;8;2;60;L;70683;351023;Nüsse;15/08;30/09
25;31;Corylus;colurna;;Baumhasel;5;1;50;L;70456;351648;Nüsse;15/08;30/09
25;35;Corylus;colurna;;Baumhasel;6;1;40;L;70478;351649;Nüsse;15/08;30/09
25;36;Corylus;colurna;;Baumhasel;5;1;30;L;70474;351662;Nüsse;15/08;30/09
25;37;Corylus;colurna;;Baumhasel;6;2;40;L;70473;351675;Nüsse;15/08;30/09
25;38;Corylus;colurna;;Baumhasel;4;1;20;L;70470;351688;Nüsse;15/08;30/09
25;39;Corylus;colurna;;Baumhasel;7;2;40;L;70478;351667;Nüsse;15/08;30/09
25;40;Corylus;colurna;;Baumhasel;4;1;20;L;70476;351679;Nüsse;15/08;30/09
25;41;Corylus;colurna;;Baumhasel;7;2;50;L;70473;351690;Nüsse;15/08;30/09
25;43;Corylus;colurna;;Baumhasel;7;1;45;L;70463;351682;Nüsse;15/08;30/09
754;45;Corylus;colurna;;Baumhasel;12;10;145;L;71200;351080;Nüsse;15/08;30/09
754;148;Corylus;colurna;;Baumhasel;15;15;242;L;71200;351227;Nüsse;15/08;30/09
630;3;Corylus;colurna;;Baumhasel;6;2;25;L;70599;355116;Nüsse;15/08;30/09
201;8;Corylus;colurna;;Baumhasel;4;2;30;L;70540;348055;Nüsse;15/08;30/09
201;9;Corylus;colurna;;Baumhasel;4;2;30;L;70542;348059;Nüsse;15/08;30/09
